Sensor,k,alpha,Mean Fluctuation
1,4516.668975639126,-0.14154433100606623,41.462432256708524
2,11744.919920589955,-0.4668181793737209,47.917350873172865
3,4573.582886235885,-0.099958709651711,47.0969552256723
4,5313.338548567452,-0.31415915127532923,46.19948980246008
5,5150.508293133506,-0.2882437384677272,29.723567082518635
6,7640.733774440828,-0.24314651471709756,43.434686979960006
7,5082.223242065076,-0.17265171679328267,39.174711164939005
8,5790.231118682499,-0.18090457566061338,37.00785089143866
9,7135.669881436117,-0.22392363461146397,45.917979990214185
10,6281.732604880635,-0.20076187234222662,47.41229624303133
11,5042.4793734549485,-0.1251233265240454,25.88610156435149
12,4589.2248487881225,-0.17726132732275354,49.72043044876273
13,9073.612430004232,-0.4030143971398478,48.32901036107103
14,16010.781085519662,-0.6393973799731397,30.37849637182943
15,5821.477855022107,-0.3558648576321047,98.13161103170478
16,8939.792961784602,-0.13833398380513684,81.54849810795548
17,8011.338535683414,-0.2729223801009119,283.1514300158082
18,7624.632530713597,-0.2694635305753994,324.3405066390101
19,144091.45025206282,-0.8777330997095354,2962.7779856530537
20,5025.080551368071,-0.0736334194932625,53.373119941503234
21,4661.553995962386,-0.1182708129119181,110.92092997605538
22,5477.702333896004,-0.15080811382998913,76.41274542403339
23,13682.278895929914,-0.35384161308501916,134.2542824136709
24,30344.43973179084,-0.7254419362561624,383.1076486835613
25,8423.377854001696,-0.177598636317727,152.67204609901975
26,4253.05688123151,0.016462659328271994,71.93364216790202
27,8882.702132105203,-0.4533789282316332,39.90885281604415
28,6676.4314094154215,-0.30789339581490477,44.716123468449155
29,5943.483711335321,-0.12208498418232404,62.50933138871196
30,9027.402660977164,-0.4366356183834749,52.80926097437127
31,13613.863352022872,-0.4793122370535385,151.42621322584117
32,9831.156161193556,-0.44300454971375697,81.41518048033828
33,12824.837010178402,-0.44756464804555535,45.51199166492801
34,9182.768706779943,-0.29800906953839457,46.72684171633588
35,6612.8343281412335,-0.2018824334370934,90.66132366244425
